,Target_Variable,Target_Overweight,Target_Included,Items_Per_Scale,Predictions,mse,hit_0_trained,hit_1_trained,hit_0_untrained,hit_1_untrained
812,O5,1,TRUE,8,O5 ~ A3 + A7 + A2 + A10 + A1 + A8 + A5 + A4 + C1 + C7 + C6 + C2 + C8 + C9 + C10 + C3 + E9 + E1 + E4 + E6 + E8 + E5 + E3 + E7 + N9 + N7 + N10 + N1 + N4 + N3 + N2 + N5 + O3 + O7 + O6 + O4 + O1 + O8 + O10 + O2,"0,364096473","0,646300068","0,980312288","0,752503819","0,988626719"
813,O5,1,TRUE,8,O5 ~ A4 + A5 + A1 + A9 + A2 + A6 + A8 + A7 + C8 + C1 + C5 + C7 + C9 + C4 + C10 + C6 + E7 + E10 + E8 + E5 + E2 + E4 + E9 + E3 + N8 + N4 + N1 + N3 + N2 + N9 + N7 + N6 + O3 + O1 + O4 + O10 + O6 + O2 + O8 + O9,"0,370668983","0,637474542","0,979633401","0,741130538","0,988456968"
814,O5,1,TRUE,8,O5 ~ A4 + A3 + A1 + A9 + A5 + A8 + A10 + A2 + C3 + C1 + C6 + C10 + C5 + C4 + C2 + C7 + E6 + E8 + E3 + E7 + E1 + E9 + E4 + E10 + N3 + N9 + N8 + N10 + N4 + N7 + N1 + N5 + O10 + O6 + O8 + O9 + O4 + O7 + O1 + O8,"0,363080925","0,643584521","0,979633401","0,752334069","0,988796469"
815,O5,1,TRUE,8,O5 ~ A2 + A10 + A3 + A1 + A6 + A5 + A8 + A4 + C6 + C2 + C1 + C7 + C5 + C4 + C10 + C8 + E6 + E1 + E8 + E10 + E3 + E5 + E4 + E7 + N10 + N2 + N6 + N7 + N1 + N9 + N5 + N4 + O7 + O6 + O3 + O1 + O8 + O2 + O8 + O4,"0,429825271","0,568228106","0,972844535","0,709896452","0,985061959"
816,O5,1,FALSE,8,O5 ~ A4 + A7 + A5 + A3 + A6 + A10 + A8 + A1 + C1 + C5 + C10 + C6 + C7 + C8 + C9 + C4 + E10 + E7 + E6 + E3 + E8 + E5 + E4 + E9 + N8 + N7 + N9 + N2 + N4 + N5 + N6 + N10,"0,494359276","0,543109301","0,970128988","0,660329316","0,980818197"
817,O5,1,FALSE,8,O5 ~ A6 + A10 + A8 + A1 + A5 + A3 + A4 + A9 + C7 + C8 + C6 + C1 + C10 + C5 + C2 + C9 + E7 + E3 + E9 + E2 + E1 + E4 + E6 + E10 + N1 + N8 + N5 + N4 + N3 + N2 + N9 + N10,"0,489212643","0,543788187","0,967413442","0,670174843","0,980818197"
818,O5,1,FALSE,8,O5 ~ A7 + A5 + A9 + A1 + A3 + A10 + A8 + A2 + C7 + C5 + C8 + C9 + C1 + C3 + C10 + C6 + E1 + E3 + E7 + E5 + E4 + E6 + E9 + E2 + N3 + N1 + N5 + N7 + N9 + N6 + N2 + N4,"0,477351743","0,561439240","0,970128988","0,675776608","0,982176201"
819,O5,1,FALSE,8,O5 ~ A7 + A10 + A2 + A3 + A6 + A9 + A8 + A1 + C4 + C8 + C1 + C2 + C10 + C9 + C5 + C6 + E5 + E3 + E2 + E1 + E4 + E8 + E7 + E9 + N6 + N7 + N1 + N8 + N4 + N2 + N3 + N9,"0,501194094","0,548540394","0,964697895","0,666440333","0,978950942"
820,O5,1,FALSE,8,O5 ~ A4 + A1 + A2 + A8 + A3 + A10 + A5 + A6 + C10 + C1 + C6 + C3 + C9 + C4 + C7 + C8 + E7 + E2 + E8 + E1 + E5 + E4 + E9 + E3 + N3 + N8 + N6 + N4 + N10 + N1 + N2 + N5,"0,482528361","0,553971487","0,967413442","0,669835342","0,982006451"
821,O5,1,TRUE,9,O5 ~ A10 + A8 + A3 + A5 + A2 + A7 + A4 + A1 + A9 + C4 + C7 + C8 + C5 + C6 + C10 + C1 + C2 + C9 + E9 + E4 + E8 + E7 + E2 + E10 + E6 + E5 + E3 + N6 + N3 + N1 + N10 + N2 + N9 + N4 + N8 + N5 + O10 + O9 + O6 + O4 + O2 + O3 + O8 + O1 + O1,"0,370007511","0,639511202","0,978954515","0,749957562","0,988117467"
